"","SOC6","OCC_TITLE","TOT_EMP","A_MEDIAN","BA_Plus","Sub_BA","is_middle_edu","dominant_requirement","Analytical","Fundamental","Managerial","Mechanical","Social","Total_Skill_Sum","Rel_Social","Rel_Analytical","Rel_Fundamental","Rel_Managerial","Rel_Mechanical","is_imputed","is_middle_wage","is_middle_wage_occ","SOC"
"97","172199","Engineers, All Other",4240,103580,90.542,9.461,FALSE,"Bachelor's or Higher",3.128,3.567875,2.6185,2.24675,2.98214285714286,14.5432678571429,0.21,0.22,0.25,0.18,0.15,FALSE,FALSE,FALSE,"172199"
"98","173011","Architectural and Civil Drafters",6680,54640,48.715,51.275,TRUE,"Sub-Baccalaureate",2.536875,3.235,2.545,1.561875,2.78428571428571,12.6630357142857,0.22,0.2,0.26,0.2,0.12,FALSE,TRUE,TRUE,"173011"
"99","173012","Electrical and Electronics Drafters",1630,73640,16.095,83.905,TRUE,"Sub-Baccalaureate",2.5,3.23375,2.03125,1.430625,2.705,11.900625,0.23,0.21,0.27,0.17,0.12,FALSE,TRUE,TRUE,"173012"
"100","173013","Mechanical Drafters",3130,55130,26.96,73.05,TRUE,"Sub-Baccalaureate",2.655,3.045,2.285,1.61125,2.59,12.18625,0.21,0.22,0.25,0.19,0.13,FALSE,TRUE,TRUE,"173013"
"101","173019","Drafters, All Other",880,58710,NA,NA,TRUE,"Sub-Baccalaureate",2.655,3.045,2.285,1.61125,2.59,NA,0.21,0.22,0.25,0.19,0.13,TRUE,TRUE,TRUE,"173019"
"102","173022","Civil Engineering Technicians",2020,55690,16.95,83.05,TRUE,"Sub-Baccalaureate",2.43625,3.22,2.435,1.64125,2.76571428571429,12.4982142857143,0.22,0.19,0.26,0.19,0.13,FALSE,TRUE,TRUE,"173022"
"103","173023","Electrical and Electronics Engineering Technicians",5310,66190,13.255,86.735,TRUE,"Sub-Baccalaureate",2.71875,3.194375,2.2975,2.840625,2.80357142857143,13.8548214285714,0.2,0.2,0.23,0.17,0.21,FALSE,TRUE,TRUE,"173023"
"104","173025","Environmental Engineering Technicians",1130,48280,72.93,27.08,FALSE,"Bachelor's or Higher",2.78125,3.5175,2.655,2.50125,2.96714285714286,14.4221428571429,0.21,0.19,0.24,0.18,0.17,FALSE,TRUE,FALSE,"173025"
"105","173026","Industrial Engineering Technicians",1130,54000,14.65,85.35,TRUE,"Sub-Baccalaureate",3.03125,3.375,2.4375,2.06125,2.89428571428571,13.7992857142857,0.21,0.22,0.24,0.18,0.15,FALSE,TRUE,TRUE,"173026"
"106","173027","Mechanical Engineering Technicians",1260,64080,21.76,78.25,TRUE,"Sub-Baccalaureate",2.57875,3.40625,2.31,2.685,2.91142857142857,13.8914285714286,0.21,0.19,0.25,0.17,0.19,FALSE,TRUE,TRUE,"173027"
